Year,SERIES,UNIT_MEASURE,Pol,Starost,Value
2021,Broj korisnika socijalne zaštite koji ostvaruju pravo na ličnu invalidninu,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,3953.0
2018,Broj korisnika socijalne zaštite koji ostvaruju pravo na ličnu invalidninu,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,1959.0
2019,Broj korisnika socijalne zaštite koji ostvaruju pravo na ličnu invalidninu,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,2101.0
2020,Broj korisnika socijalne zaštite koji ostvaruju pravo na ličnu invalidninu,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,2613.0
2021,Broj korisnika socijalne zaštite koji ostvaruju pravo na ličnu invalidninu,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,2774.0
2018,Broj korisnika socijalne zaštite koji ostvaruju pravo na ličnu invalidninu,Broj,Oba pola ili bez podjele po polu,Broj djece,1048.0
2019,Broj korisnika socijalne zaštite koji ostvaruju pravo na ličnu invalidninu,Broj,Oba pola ili bez podjele po polu,Broj djece,1214.0
2020,Broj korisnika socijalne zaštite koji ostvaruju pravo na ličnu invalidninu,Broj,Oba pola ili bez podjele po polu,Broj djece,1445.0
2021,Broj korisnika socijalne zaštite koji ostvaruju pravo na ličnu invalidninu,Broj,Oba pola ili bez podjele po polu,Broj djece,1626.0
2018,Broj korisnika socijalne zaštite koji ostvaruju pravo na ličnu invalidninu,Broj,Muškarci,Broj djece,670.0
2019,Broj korisnika socijalne zaštite koji ostvaruju pravo na ličnu invalidninu,Broj,Muškarci,Broj djece,777.0
2020,Broj korisnika socijalne zaštite koji ostvaruju pravo na ličnu invalidninu,Broj,Muškarci,Broj djece,912.0
2021,Broj korisnika socijalne zaštite koji ostvaruju pravo na ličnu invalidninu,Broj,Muškarci,Broj djece,1019.0
2018,Broj korisnika socijalne zaštite koji ostvaruju pravo na ličnu invalidninu,Broj,Žene,Broj djece,378.0
2019,Broj korisnika socijalne zaštite koji ostvaruju pravo na ličnu invalidninu,Broj,Žene,Broj djece,437.0
2020,Broj korisnika socijalne zaštite koji ostvaruju pravo na ličnu invalidninu,Broj,Žene,Broj djece,533.0
2021,Broj korisnika socijalne zaštite koji ostvaruju pravo na ličnu invalidninu,Broj,Žene,Broj djece,607.0
